選挙区,都道府県,都道府県コード,区番号,対象地域,候補者数,出馬政党,総人口,有権者数,年齢_18〜29歳,年齢_30〜39歳,年齢_40〜49歳,年齢_50〜59歳,年齢_60〜69歳,年齢_70歳以上,男性比率,女性比率,世帯_単身,世帯_夫婦のみ,世帯_核家族,世帯_三世代,世帯_その他,都市化分類,都市化率,第一次産業比率,第二次産業比率,第三次産業比率,所得水準,平均年収（円）,失業率,大卒率,主要産業,経済課題,生活費指数,高齢化依存率,投票率_2021,投票率_2017,投票率_平均,支持率_自民党,支持率_立憲民主党,支持率_維新,支持率_国民民主党,支持率_共産党,支持率_れいわ,支持率_参政党,支持率_その他,イデオロギー_保守,イデオロギー_中道,イデオロギー_革新,政治関心_高,政治関心_中,政治関心_低,浮動票率,主要課題1,主要課題2,主要課題3,課題優先度_経済,課題優先度_社会保障,課題優先度_安全保障,課題優先度_教育,課題優先度_環境,課題優先度_地方創生,課題優先度_憲法改正,課題優先度_防災,ペルソナ_都市部若年勤労者,ペルソナ_郊外子育て世帯,ペルソナ_中高年会社員,ペルソナ_中高年女性労働者,ペルソナ_農村部農業従事者,ペルソナ_高齢年金受給者,ペルソナ_自営業者,ペルソナ_公務員,ペルソナ_大学生,ペルソナ_専業主婦主夫,ペルソナ_非正規雇用,ペルソナ_労働組合員
北海道11区,北海道,1,11,帯広市、十勝地方,4,中道改革連合、日本維新の会、共産党、自民党,348307,302000,0.07,0.08,0.13,0.15,0.19,0.38,0.48,0.52,0.38,0.22,0.27,0.05,0.08,農村部,0.3,0.16,0.21,0.63,低,3360000,0.04,0.25,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.437,0.568,0.534,0.551,0.38,0.19,0.05,0.1,0.06,0.05,0.03,0.14,0.43,0.4,0.17,0.25,0.45,0.3,0.27,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.0404,0.0707,0.0909,0.0707,0.1515,0.2727,0.0909,0.0707,0.0101,0.0707,0.0303,0.0303
北海道12区,北海道,1,12,北見市、網走市、オホーツク地方,3,中道改革連合、日本保守党、自民党,391846,339750,0.09,0.1,0.14,0.14,0.17,0.36,0.48,0.52,0.38,0.22,0.27,0.05,0.08,地方都市,0.55,0.1,0.2,0.7,中,3780000,0.037,0.3,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.411,0.568,0.534,0.551,0.33,0.21,0.07,0.1,0.07,0.05,0.03,0.14,0.38,0.4,0.22,0.25,0.45,0.3,0.32,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.0693,0.099,0.1089,0.0792,0.099,0.2277,0.0792,0.0693,0.0198,0.0693,0.0396,0.0396
青森県1区,青森県,2,1,青森市、東津軽郡,2,減税日本、自民党,412661,363333,0.11,0.11,0.13,0.14,0.16,0.35,0.48,0.52,0.3,0.2,0.28,0.12,0.1,中核市,0.75,0.11,0.22,0.67,中,3600000,0.035,0.28,りんご農業、水産業、林業,人口減少、若者流出、短命県問題,93.0,0.398,0.498,0.467,0.483,0.42,0.14,0.06,0.06,0.06,0.04,0.03,0.19,0.5,0.35,0.15,0.18,0.4,0.42,0.25,人口減少・少子高齢化,農業振興,核燃料サイクル施設,0.2,0.25,0.08,0.08,0.07,0.22,0.03,0.07,0.0686,0.0784,0.098,0.0784,0.1078,0.2647,0.0686,0.0588,0.0294,0.0588,0.0588,0.0294
青森県2区,青森県,2,2,八戸市、三戸郡,2,国民民主党、自民党,371395,327000,0.08,0.09,0.13,0.14,0.18,0.38,0.48,0.52,0.3,0.2,0.28,0.12,0.1,地方都市,0.55,0.14,0.24,0.62,中,3240000,0.04,0.23,りんご農業、水産業、林業,人口減少、若者流出、短命県問題,93.0,0.434,0.498,0.467,0.483,0.45,0.13,0.05,0.06,0.05,0.04,0.03,0.19,0.53,0.35,0.12,0.18,0.4,0.42,0.22,人口減少・少子高齢化,農業振興,核燃料サイクル施設,0.2,0.25,0.08,0.08,0.07,0.22,0.03,0.07,0.0198,0.0693,0.0891,0.0792,0.1485,0.297,0.0792,0.0594,0.0099,0.0693,0.0495,0.0297
青森県3区,青森県,2,3,弘前市、五所川原市、西津軽郡,4,中道改革連合、国民民主党、日本維新の会、自民党,371395,327000,0.08,0.09,0.13,0.14,0.18,0.38,0.48,0.52,0.3,0.2,0.28,0.12,0.1,地方都市,0.55,0.14,0.24,0.62,中,3240000,0.04,0.23,りんご農業、水産業、林業,人口減少、若者流出、短命県問題,93.0,0.434,0.498,0.467,0.483,0.45,0.13,0.05,0.06,0.05,0.04,0.03,0.19,0.53,0.35,0.12,0.18,0.4,0.42,0.22,人口減少・少子高齢化,農業振興,核燃料サイクル施設,0.2,0.25,0.08,0.08,0.07,0.22,0.03,0.07,0.0198,0.0693,0.0891,0.0792,0.1485,0.297,0.0792,0.0594,0.0099,0.0693,0.0495,0.0297
岩手県1区,岩手県,3,1,盛岡市、八幡平市,3,中道改革連合、自民党、参政党,403511,355000,0.11,0.11,0.13,0.14,0.16,0.35,0.48,0.52,0.28,0.2,0.27,0.14,0.11,中核市,0.75,0.1,0.24,0.66,中,3650000,0.028,0.29,農業、水産業、製造業,震災復興、人口減少、過疎化,93.5,0.398,0.532,0.51,0.521,0.34,0.2,0.06,0.08,0.06,0.04,0.03,0.19,0.4,0.38,0.22,0.22,0.43,0.35,0.3,東日本大震災復興,人口減少対策,農林水産業振興,0.18,0.2,0.05,0.08,0.07,0.2,0.02,0.2,0.0686,0.0784,0.098,0.0784,0.1078,0.2647,0.0686,0.0588,0.0294,0.0588,0.049,0.0392
岩手県2区,岩手県,3,2,宮古市、釜石市、沿岸地方,6,中道改革連合、国民民主党、日本保守党、日本維新の会、共産党、自民党,322809,284000,0.06,0.07,0.12,0.15,0.2,0.4,0.48,0.52,0.28,0.2,0.27,0.14,0.11,農村部,0.3,0.19,0.27,0.54,低,2920000,0.036,0.19,農業、水産業、製造業,震災復興、人口減少、過疎化,93.5,0.46,0.532,0.51,0.521,0.42,0.17,0.03,0.08,0.04,0.04,0.03,0.19,0.48,0.38,0.14,0.22,0.43,0.35,0.22,東日本大震災復興,人口減少対策,農林水産業振興,0.18,0.2,0.05,0.08,0.07,0.2,0.02,0.2,0.0,0.04,0.07,0.07,0.2,0.34,0.09,0.06,0.0,0.07,0.03,0.03
岩手県3区,岩手県,3,3,奥州市、一関市、県南地方,3,共産党、自民党、参政党,363160,319500,0.08,0.09,0.13,0.14,0.18,0.38,0.48,0.52,0.28,0.2,0.27,0.14,0.11,地方都市,0.55,0.13,0.26,0.61,中,3285000,0.033,0.24,農業、水産業、製造業,震災復興、人口減少、過疎化,93.5,0.434,0.532,0.51,0.521,0.37,0.19,0.05,0.08,0.05,0.04,0.03,0.19,0.43,0.38,0.19,0.22,0.43,0.35,0.27,東日本大震災復興,人口減少対策,農林水産業振興,0.18,0.2,0.05,0.08,0.07,0.2,0.02,0.2,0.0198,0.0693,0.0891,0.0792,0.1485,0.297,0.0792,0.0594,0.0099,0.0693,0.0396,0.0396
宮城県1区,宮城県,4,1,仙台市青葉区、太白区,5,中道改革連合、国民民主党、減税日本、共産党、自民党,422032,359333,0.16,0.15,0.16,0.14,0.13,0.26,0.49,0.51,0.35,0.21,0.29,0.07,0.08,大都市,0.92,0.03,0.18,0.79,高,4785000,0.026,0.48,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,97.0,0.299,0.528,0.51,0.519,0.3168,0.198,0.0891,0.0792,0.0792,0.0495,0.0297,0.1584,0.39,0.38,0.23,0.23,0.44,0.33,0.37,震災復興の完遂,仙台一極集中の是正,水産業・農業振興,0.2,0.22,0.05,0.1,0.05,0.18,0.03,0.17,0.1538,0.1346,0.1442,0.0865,0.0096,0.1538,0.0769,0.0577,0.0577,0.0481,0.0481,0.0288
宮城県2区,宮城県,4,2,仙台市宮城野区、若林区、泉区,3,国民民主党、共産党、自民党,422032,359333,0.16,0.15,0.16,0.14,0.13,0.26,0.49,0.51,0.35,0.21,0.29,0.07,0.08,大都市,0.92,0.03,0.18,0.79,高,4785000,0.026,0.48,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,97.0,0.299,0.528,0.51,0.519,0.3168,0.198,0.0891,0.0792,0.0792,0.0495,0.0297,0.1584,0.39,0.38,0.23,0.23,0.44,0.33,0.37,震災復興の完遂,仙台一極集中の是正,水産業・農業振興,0.2,0.22,0.05,0.1,0.05,0.18,0.03,0.17,0.1538,0.1346,0.1442,0.0865,0.0096,0.1538,0.0769,0.0577,0.0577,0.0481,0.0481,0.0288
宮城県3区,宮城県,4,3,名取市、岩沼市、亘理郡,4,中道改革連合、国民民主党、無所属、自民党,345299,294000,0.11,0.11,0.15,0.14,0.16,0.33,0.49,0.51,0.35,0.21,0.29,0.07,0.08,地方都市,0.55,0.07,0.22,0.71,中,3915000,0.034,0.35,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,97.0,0.378,0.528,0.51,0.519,0.38,0.17,0.07,0.08,0.06,0.05,0.03,0.16,0.45,0.38,0.17,0.23,0.44,0.33,0.29,震災復興の完遂,仙台一極集中の是正,水産業・農業振興,0.2,0.22,0.05,0.1,0.05,0.18,0.03,0.17,0.0792,0.1188,0.1188,0.0792,0.0792,0.2178,0.0792,0.0693,0.0297,0.0693,0.0297,0.0297
宮城県4区,宮城県,4,4,大崎市、栗原市、登米市,2,自民党、参政党,345299,294000,0.11,0.11,0.15,0.14,0.16,0.33,0.49,0.51,0.35,0.21,0.29,0.07,0.08,地方都市,0.55,0.07,0.22,0.71,中,3915000,0.034,0.35,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,97.0,0.378,0.528,0.51,0.519,0.38,0.17,0.07,0.08,0.06,0.05,0.03,0.16,0.45,0.38,0.17,0.23,0.44,0.33,0.29,震災復興の完遂,仙台一極集中の是正,水産業・農業振興,0.2,0.22,0.05,0.1,0.05,0.18,0.03,0.17,0.0792,0.1188,0.1188,0.0792,0.0792,0.2178,0.0792,0.0693,0.0297,0.0693,0.0297,0.0297
宮城県5区,宮城県,4,5,石巻市、東松島市、気仙沼市,4,中道改革連合、共産党、自民党、参政党,306932,261333,0.09,0.09,0.14,0.15,0.18,0.35,0.49,0.51,0.35,0.21,0.29,0.07,0.08,農村部,0.3,0.13,0.23,0.64,低,3480000,0.037,0.3,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,97.0,0.404,0.528,0.51,0.519,0.43,0.15,0.05,0.08,0.05,0.05,0.03,0.16,0.5,0.38,0.12,0.23,0.44,0.33,0.24,震災復興の完遂,仙台一極集中の是正,水産業・農業振興,0.2,0.22,0.05,0.1,0.05,0.18,0.03,0.17,0.0505,0.0909,0.101,0.0707,0.1313,0.2626,0.0909,0.0707,0.0202,0.0707,0.0202,0.0202
宮城県6区,宮城県,4,6,宮城県第6区エリア,5,中道改革連合、国民民主党、日本維新の会、自民党、参政党,345299,294000,0.11,0.11,0.15,0.14,0.16,0.33,0.49,0.51,0.35,0.21,0.29,0.07,0.08,地方都市,0.55,0.07,0.22,0.71,中,3915000,0.034,0.35,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,97.0,0.378,0.528,0.51,0.519,0.38,0.17,0.07,0.08,0.06,0.05,0.03,0.16,0.45,0.38,0.17,0.23,0.44,0.33,0.29,震災復興の完遂,仙台一極集中の是正,水産業・農業振興,0.2,0.22,0.05,0.1,0.05,0.18,0.03,0.17,0.0792,0.1188,0.1188,0.0792,0.0792,0.2178,0.0792,0.0693,0.0297,0.0693,0.0297,0.0297
秋田県1区,秋田県,5,1,秋田市,3,国民民主党、自民党、参政党,319834,286666,0.09,0.1,0.12,0.13,0.16,0.4,0.47,0.53,0.28,0.22,0.25,0.14,0.11,中核市,0.75,0.09,0.24,0.67,中,3500000,0.033,0.27,稲作農業、林業、電子部品製造,人口減少（全国最速）、高齢化（全国最高）、若者流出,92.0,0.448,0.546,0.518,0.532,0.44,0.14,0.05,0.06,0.06,0.04,0.03,0.18,0.52,0.33,0.15,0.2,0.42,0.38,0.22,人口減少・少子高齢化,農業振興,イージス・アショア跡地問題,0.18,0.27,0.08,0.07,0.1,0.22,0.02,0.06,0.0588,0.0588,0.0882,0.0686,0.1176,0.3039,0.0686,0.0588,0.0294,0.0588,0.0588,0.0294
秋田県2区,秋田県,5,2,横手市、大仙市、県南地方,2,共産党、自民党,287850,258000,0.06,0.08,0.12,0.13,0.18,0.43,0.47,0.53,0.28,0.22,0.25,0.14,0.11,地方都市,0.55,0.12,0.26,0.62,中,3150000,0.038,0.22,稲作農業、林業、電子部品製造,人口減少（全国最速）、高齢化（全国最高）、若者流出,92.0,0.484,0.546,0.518,0.532,0.47,0.13,0.04,0.06,0.05,0.04,0.03,0.18,0.55,0.33,0.12,0.2,0.42,0.38,0.19,人口減少・少子高齢化,農業振興,イージス・アショア跡地問題,0.18,0.27,0.08,0.07,0.1,0.22,0.02,0.06,0.0099,0.0495,0.0792,0.0693,0.1584,0.3366,0.0792,0.0594,0.0099,0.0693,0.0495,0.0297
秋田県3区,秋田県,5,3,秋田県第3区エリア,5,中道改革連合、国民民主党、減税日本、自民党、参政党,287850,258000,0.06,0.08,0.12,0.13,0.18,0.43,0.47,0.53,0.28,0.22,0.25,0.14,0.11,地方都市,0.55,0.12,0.26,0.62,中,3150000,0.038,0.22,稲作農業、林業、電子部品製造,人口減少（全国最速）、高齢化（全国最高）、若者流出,92.0,0.484,0.546,0.518,0.532,0.47,0.13,0.04,0.06,0.05,0.04,0.03,0.18,0.55,0.33,0.12,0.2,0.42,0.38,0.19,人口減少・少子高齢化,農業振興,イージス・アショア跡地問題,0.18,0.27,0.08,0.07,0.1,0.22,0.02,0.06,0.0099,0.0495,0.0792,0.0693,0.1584,0.3366,0.0792,0.0594,0.0099,0.0693,0.0495,0.0297
山形県1区,山形県,6,1,山形市、上山市、天童市,4,中道改革連合、国民民主党、自民党、参政党,356009,313333,0.1,0.11,0.13,0.13,0.16,0.37,0.48,0.52,0.26,0.2,0.27,0.16,0.11,中核市,0.75,0.09,0.27,0.64,中,3700000,0.026,0.28,果樹農業、電子部品製造、食品加工,人口減少、若者流出、豪雪対策,93.0,0.418,0.58,0.558,0.569,0.4,0.16,0.06,0.07,0.06,0.04,0.03,0.18,0.48,0.35,0.17,0.24,0.44,0.32,0.26,農業振興・ブランド化,人口減少・若者定着,豪雪対策,0.22,0.23,0.05,0.08,0.07,0.22,0.03,0.1,0.0686,0.0784,0.098,0.0784,0.1078,0.2647,0.0686,0.0588,0.0294,0.0588,0.049,0.0392
山形県2区,山形県,6,2,酒田市、鶴岡市、庄内地方,4,無所属、共産党、自民党、参政党,320408,282000,0.07,0.09,0.13,0.13,0.18,0.4,0.48,0.52,0.26,0.2,0.27,0.16,0.11,地方都市,0.55,0.12,0.29,0.59,中,3330000,0.031,0.23,果樹農業、電子部品製造、食品加工,人口減少、若者流出、豪雪対策,93.0,0.454,0.58,0.558,0.569,0.43,0.15,0.05,0.07,0.05,0.04,0.03,0.18,0.51,0.35,0.14,0.24,0.44,0.32,0.23,農業振興・ブランド化,人口減少・若者定着,豪雪対策,0.22,0.23,0.05,0.08,0.07,0.22,0.03,0.1,0.0198,0.0693,0.0891,0.0792,0.1485,0.297,0.0792,0.0594,0.0099,0.0693,0.0396,0.0396
山形県3区,山形県,6,3,米沢市、新庄市、置賜地方,2,中道改革連合、自民党,320408,282000,0.07,0.09,0.13,0.13,0.18,0.4,0.48,0.52,0.26,0.2,0.27,0.16,0.11,地方都市,0.55,0.12,0.29,0.59,中,3330000,0.031,0.23,果樹農業、電子部品製造、食品加工,人口減少、若者流出、豪雪対策,93.0,0.454,0.58,0.558,0.569,0.43,0.15,0.05,0.07,0.05,0.04,0.03,0.18,0.51,0.35,0.14,0.24,0.44,0.32,0.23,農業振興・ブランド化,人口減少・若者定着,豪雪対策,0.22,0.23,0.05,0.08,0.07,0.22,0.03,0.1,0.0198,0.0693,0.0891,0.0792,0.1485,0.297,0.0792,0.0594,0.0099,0.0693,0.0396,0.0396
福島県1区,福島県,7,1,福島市、伊達市、二本松市,4,国民民主党、共産党、自民党、参政党,293304,256000,0.06,0.07,0.13,0.15,0.2,0.39,0.49,0.51,0.29,0.21,0.28,0.12,0.1,農村部,0.3,0.15,0.31,0.54,低,3200000,0.038,0.2,製造業、農業、観光業,原発事故復興、風評被害、人口減少,94.0,0.45,0.536,0.508,0.522,0.44,0.15,0.03,0.08,0.04,0.05,0.03,0.18,0.51,0.37,0.12,0.24,0.43,0.33,0.22,原発事故からの復興,風評被害対策,人口回復・地域再生,0.18,0.2,0.05,0.07,0.15,0.18,0.02,0.15,0.0,0.0505,0.0808,0.0707,0.1818,0.3232,0.0909,0.0606,0.0,0.0707,0.0404,0.0303
福島県2区,福島県,7,2,郡山市、須賀川市,2,中道改革連合、自民党,366630,320000,0.11,0.11,0.14,0.14,0.16,0.34,0.49,0.51,0.29,0.21,0.28,0.12,0.1,中核市,0.75,0.06,0.28,0.66,中,4000000,0.03,0.3,製造業、農業、観光業,原発事故復興、風評被害、人口減少,94.0,0.388,0.536,0.508,0.522,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.43,0.37,0.2,0.24,0.43,0.33,0.3,原発事故からの復興,風評被害対策,人口回復・地域再生,0.18,0.2,0.05,0.07,0.15,0.18,0.02,0.15,0.0784,0.0882,0.1078,0.0784,0.0882,0.2451,0.0686,0.0588,0.0294,0.0588,0.0588,0.0392
福島県3区,福島県,7,3,いわき市、双葉郡,2,中道改革連合、自民党,366630,320000,0.11,0.11,0.14,0.14,0.16,0.34,0.49,0.51,0.29,0.21,0.28,0.12,0.1,中核市,0.75,0.06,0.28,0.66,中,4000000,0.03,0.3,製造業、農業、観光業,原発事故復興、風評被害、人口減少,94.0,0.388,0.536,0.508,0.522,0.36,0.18,0.06,0.08,0.06,0.05,0.03,0.18,0.43,0.37,0.2,0.24,0.43,0.33,0.3,原発事故からの復興,風評被害対策,人口回復・地域再生,0.18,0.2,0.05,0.07,0.15,0.18,0.02,0.15,0.0784,0.0882,0.1078,0.0784,0.0882,0.2451,0.0686,0.0588,0.0294,0.0588,0.0588,0.0392
